"Indicator" "seriesDescription"
"1" "Ind_15.6.1" "Countries that are contracting Parties to the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO)"
"2" "Ind_15.6.1" "Countries that are parties to the Nagoya Protocol (1 = YES; 0 = NO)"
"3" "Ind_15.6.1" "Countries that have legislative, administrative and policy framework or measures reported through the Online Reporting System on Compliance  of the International Treaty on Plant Genetic Resources for Food and Agriculture (PGRFA) (1 = YES; 0 = NO)"
"4" "Ind_15.6.1" "Countries that have legislative, administrative and policy framework or measures reported to the Access and Benefit-Sharing Clearing-House (1 = YES; 0 = NO)"
"5" "Ind_15.6.1" "Total reported number of Standard Material Transfer Agreements (SMTAs) transferring plant genetic resources for food and agriculture to the country (number)"
"6" "Ind_15.9.1" "Countries that established national targets in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020 in their National Biodiversity Strategy and Action Plans (1 = YES; 0 = NO)"
"7" "Ind_15.9.1" "Countries with integrated biodiversity values into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting  (1 = YES; 0 = NO)"
"8" "Ind_15.a.1" "Total official development assistance for biodiversity, by donor countries (millions of constant 2018 United States dollars)"
"9" "Ind_15.a.1" "Total official development assistance for biodiversity, by recipient countries (millions of constant 2018 United States dollars)"
